,0
1,STEAM_0:0:60711210
2,STEAM_0:0:186431294
3,STEAM_0:0:461138836
4,STEAM_0:1:49055398
5,STEAM_0:0:85396208
6,STEAM_0:0:60711210
7,STEAM_0:0:186431294
8,STEAM_0:0:461138836
9,STEAM_0:1:49055398
10,STEAM_0:0:85396208
11,STEAM_0:0:532164594
12,STEAM_0:0:230530929
13,STEAM_0:0:430604249
14,STEAM_0:0:508251482
15,STEAM_0:1:220212788
16,STEAM_0:1:122465485
17,STEAM_0:0:240958097
18,STEAM_0:1:430518453
19,STEAM_0:1:159523117
20,STEAM_0:1:70149459
21,STEAM_0:1:51835670
22,STEAM_0:1:499520353
23,STEAM_0:1:166731810
24,STEAM_0:1:430584724
25,STEAM_0:0:203991126
26,STEAM_0:0:502712467
27,STEAM_0:1:101177613
28,STEAM_0:0:19980932
29,STEAM_0:1:539874848
30,STEAM_0:1:522167844
31,STEAM_0:1:534160120
32,STEAM_0:0:204511238
33,STEAM_0:0:552893992
34,STEAM_0:0:201777394
35,STEAM_0:1:86944499
36,STEAM_0:0:89011868
37,STEAM_0:0:503746543
38,STEAM_0:0:580838718
39,STEAM_0:1:491550555
40,STEAM_0:1:124786506
41,STEAM_0:1:60255283
42,STEAM_0:0:226331945
43,STEAM_0:0:228802929
44,STEAM_0:1:151031128
45,STEAM_0:1:455893284
46,STEAM_0:1:528821995
47,STEAM_0:0:203590769
48,STEAM_0:0:210676837
49,STEAM_0:0:93509102
50,STEAM_0:0:535132992
51,STEAM_0:0:41896413
52,STEAM_0:0:88612872
53,STEAM_0:1:29607076
54,STEAM_0:1:52703616
55,STEAM_0:0:425619407
56,STEAM_0:1:214351060
57,STEAM_0:1:219382022
58,STEAM_0:1:530242559
59,STEAM_0:1:63119958
60,STEAM_0:1:422611671
61,STEAM_0:1:177766232
62,STEAM_0:1:108007389
63,STEAM_0:0:129091646
64,STEAM_0:1:233074448
65,STEAM_0:0:234705327
66,STEAM_0:1:168208581
67,STEAM_0:0:427579380
68,STEAM_0:1:455792388
69,STEAM_0:1:87564481
70,STEAM_0:0:539187871
71,STEAM_0:1:503043927
72,STEAM_0:1:182544229
73,STEAM_0:0:216320495
74,STEAM_0:0:496064411
75,STEAM_0:1:514506928
76,STEAM_0:0:145827785
77,STEAM_0:0:226638124
78,STEAM_0:1:158651587
79,STEAM_0:1:146661411
80,STEAM_0:1:420125688
81,STEAM_0:1:473778426
82,STEAM_0:1:427943983
83,STEAM_0:1:417623621
84,STEAM_0:0:54854933
85,STEAM_0:1:175260642
86,STEAM_0:1:42973133
87,STEAM_0:1:175882291
88,STEAM_0:0:237959870
89,STEAM_0:0:110284107
90,STEAM_0:0:198843081
91,STEAM_0:0:161298564
92,STEAM_0:1:52992578
93,STEAM_0:0:139078626
94,STEAM_0:1:92622918
95,STEAM_0:0:219357139
96,STEAM_0:0:52955846
97,STEAM_0:0:71062889
98,STEAM_0:0:166023851
99,STEAM_0:1:221604613
100,STEAM_0:1:216671031
101,STEAM_0:1:161207335
102,STEAM_0:1:40121928
103,STEAM_0:1:39617265
104,STEAM_0:1:161532193
105,STEAM_0:1:34071411
106,STEAM_0:1:514634280
107,STEAM_0:1:61657570
108,STEAM_0:1:147786749
109,STEAM_0:0:141245875
110,STEAM_0:1:438080585
111,STEAM_0:1:26097265
112,STEAM_0:0:503133132
113,STEAM_0:1:95263746
114,STEAM_0:0:181328584
115,STEAM_0:1:61416250
116,STEAM_0:1:202855912
117,STEAM_0:0:26780843
118,STEAM_0:1:223727727
119,STEAM_0:0:84974823
120,STEAM_0:1:549499076
121,STEAM_0:0:90227811
122,STEAM_0:1:65840239
123,STEAM_0:1:453685463
124,STEAM_0:0:60711210
125,STEAM_0:0:186431294
126,STEAM_0:0:461138836
127,STEAM_0:1:49055398
128,STEAM_0:0:85396208
129,STEAM_0:0:532164594
130,STEAM_0:0:230530929
131,STEAM_0:0:430604249
132,STEAM_0:0:508251482
133,STEAM_0:1:220212788
134,STEAM_0:1:122465485
135,STEAM_0:0:240958097
136,STEAM_0:1:430518453
137,STEAM_0:1:159523117
138,STEAM_0:1:70149459
139,STEAM_0:1:51835670
140,STEAM_0:1:499520353
141,STEAM_0:1:166731810
142,STEAM_0:1:430584724
143,STEAM_0:0:203991126
144,STEAM_0:0:502712467
145,STEAM_0:1:101177613
146,STEAM_0:0:19980932
147,STEAM_0:1:539874848
148,STEAM_0:1:522167844
149,STEAM_0:1:534160120
150,STEAM_0:0:204511238
151,STEAM_0:0:552893992
152,STEAM_0:0:201777394
153,STEAM_0:1:86944499
154,STEAM_0:0:89011868
155,STEAM_0:0:503746543
156,STEAM_0:0:580838718
157,STEAM_0:1:491550555
158,STEAM_0:1:124786506
159,STEAM_0:1:60255283
160,STEAM_0:0:226331945
161,STEAM_0:0:228802929
162,STEAM_0:1:151031128
163,STEAM_0:1:455893284
164,STEAM_0:1:528821995
165,STEAM_0:0:56794945
166,STEAM_0:0:203590769
167,STEAM_0:0:210676837
168,STEAM_0:0:93509102
169,STEAM_0:0:535132992
170,STEAM_0:0:41896413
171,STEAM_0:0:88612872
172,STEAM_0:1:29607076
173,STEAM_0:1:52703616
174,STEAM_0:0:425619407
175,STEAM_0:1:214351060
176,STEAM_0:1:219382022
177,STEAM_0:1:530242559
178,STEAM_0:1:63119958
179,STEAM_0:1:422611671
180,STEAM_0:1:177766232
181,STEAM_0:1:108007389
182,STEAM_0:0:129091646
183,STEAM_0:1:233074448
184,STEAM_0:0:234705327
185,STEAM_0:1:168208581
186,STEAM_0:0:427579380
187,STEAM_0:1:455792388
188,STEAM_0:1:87564481
189,STEAM_0:0:539187871
190,STEAM_0:1:503043927
191,STEAM_0:1:182544229
192,STEAM_0:0:216320495
193,STEAM_0:0:496064411
194,STEAM_0:1:514506928
195,STEAM_0:0:145827785
196,STEAM_0:0:226638124
197,STEAM_0:1:158651587
198,STEAM_0:1:146661411
199,STEAM_0:1:420125688
200,STEAM_0:1:473778426
201,STEAM_0:1:427943983
202,STEAM_0:1:417623621
203,STEAM_0:0:54854933
204,STEAM_0:1:175260642
205,STEAM_0:1:42973133
206,STEAM_0:1:175882291
207,STEAM_0:0:110284107
208,STEAM_0:0:198843081
209,STEAM_0:0:161298564
210,STEAM_0:1:52992578
211,STEAM_0:0:139078626
212,STEAM_0:1:92622918
213,STEAM_0:0:219357139
214,STEAM_0:0:52955846
215,STEAM_0:0:71062889
216,STEAM_0:0:166023851
217,STEAM_0:1:221604613
218,STEAM_0:1:216671031
219,STEAM_0:1:161207335
220,STEAM_0:1:40121928
221,STEAM_0:1:39617265
222,STEAM_0:1:161532193
223,STEAM_0:1:34071411
224,STEAM_0:1:514634280
225,STEAM_0:1:61657570
226,STEAM_0:1:147786749
227,STEAM_0:0:141245875
228,STEAM_0:1:438080585
229,STEAM_0:1:26097265
230,STEAM_0:0:503133132
231,STEAM_0:1:95263746
232,STEAM_0:0:181328584
233,STEAM_0:1:61416250
234,STEAM_0:1:202855912
235,STEAM_0:0:26780843
236,STEAM_0:1:223727727
237,STEAM_0:0:84974823
238,STEAM_0:1:549499076
239,STEAM_0:0:90227811
240,STEAM_0:1:65840239
241,STEAM_0:1:453685463
242,STEAM_0:1:464377620
243,STEAM_0:0:125046636
244,STEAM_0:1:214031498
245,STEAM_0:1:117423117
246,STEAM_0:1:234116201
247,STEAM_0:1:24779234
248,STEAM_0:1:448538825
249,STEAM_0:0:111774401
250,STEAM_0:1:167665349
251,STEAM_0:0:160953501
252,STEAM_0:1:223663027
253,STEAM_0:0:153566104
254,STEAM_0:1:226999358
255,STEAM_0:0:243911569
256,STEAM_0:1:81999486
257,STEAM_0:0:455983982
258,STEAM_0:1:66545829
259,STEAM_0:1:242611304
260,STEAM_0:0:224432368
261,STEAM_0:1:546097061
262,STEAM_0:1:70098799
263,STEAM_0:0:441866013
264,STEAM_0:1:67270240
265,STEAM_0:1:421289244
266,STEAM_0:1:429392265
267,STEAM_0:1:508054685
268,STEAM_0:0:85116836
269,STEAM_0:0:40206431
270,STEAM_0:1:171303917
271,STEAM_0:0:490502730
272,STEAM_0:0:44746375
273,STEAM_0:1:82852220
274,STEAM_0:0:154030557
275,STEAM_0:1:194746908
276,STEAM_0:1:54090601
277,STEAM_0:0:485392583
278,STEAM_0:1:211428602
279,STEAM_0:1:124338984
280,STEAM_0:0:163068686
281,STEAM_0:0:501415269
282,STEAM_0:0:26111957
283,STEAM_0:1:65444464
284,STEAM_0:1:1874020
285,STEAM_0:1:35996842
286,STEAM_0:0:70187091
287,STEAM_0:0:455816596
288,STEAM_0:1:446471229
289,STEAM_0:0:151455961
290,STEAM_0:0:220150014
291,STEAM_0:0:135870850
292,STEAM_0:0:137958753
293,STEAM_0:0:495488921
294,STEAM_0:0:162113303
295,STEAM_0:0:183895944
296,STEAM_0:0:466937472
297,STEAM_0:1:229175137
298,STEAM_0:1:210965138
299,STEAM_0:1:531325969
300,STEAM_0:0:438633147
301,STEAM_0:0:144069428
302,STEAM_0:0:48769166
303,STEAM_0:0:213499428
304,STEAM_0:0:51552463
305,STEAM_0:1:427172025
306,STEAM_0:0:149993253
307,STEAM_0:1:153868987
308,STEAM_0:0:499720639
309,STEAM_0:0:469906302
310,STEAM_0:0:423731192
311,STEAM_0:1:121250515
312,STEAM_0:0:52304077
313,STEAM_0:0:530499183
314,STEAM_0:1:6005765
315,STEAM_0:0:448265041
316,STEAM_0:1:244399861
317,STEAM_0:1:123429501
318,STEAM_0:0:170603425
319,STEAM_0:1:223574350
320,STEAM_0:0:141867501
321,STEAM_0:0:95058164
322,STEAM_0:0:60021797
323,STEAM_0:1:59968414
324,STEAM_0:0:65078244
325,STEAM_0:0:230755132
326,STEAM_0:0:538056693
327,STEAM_0:0:178042797
328,STEAM_0:1:59810609
329,STEAM_0:1:86995836
330,STEAM_0:1:425817920
331,STEAM_0:1:219607148
332,STEAM_0:1:503975839
333,STEAM_0:1:204704821
334,STEAM_0:1:32281409
335,STEAM_0:1:121507729
336,STEAM_0:0:432626933
337,STEAM_0:0:26285802
338,STEAM_0:1:506508329
339,STEAM_0:0:69980523
340,STEAM_0:1:463020667
341,STEAM_0:0:200159958
342,STEAM_0:0:128054442
343,STEAM_0:0:159783336
344,STEAM_0:0:455840521
345,STEAM_0:0:225108443
346,STEAM_0:1:196992901
347,STEAM_0:1:512571848
348,STEAM_0:0:449776254
349,STEAM_0:1:111834509
350,STEAM_0:1:425930756
351,STEAM_0:0:38762811
352,NaN_230
353,STEAM_0:1:90827770
354,STEAM_0:1:817443
355,STEAM_0:1:70568310
356,STEAM_0:1:479745053
357,STEAM_0:1:47422990
358,STEAM_0:1:224354021
359,STEAM_0:0:86741864
360,STEAM_0:1:539818077
361,STEAM_0:0:221645667
362,STEAM_0:1:74613889
363,STEAM_0:0:40921373
364,STEAM_0:0:166934604
365,STEAM_0:0:242405092
366,STEAM_0:1:459450298
367,STEAM_0:1:231022701
368,STEAM_0:1:63806416
369,STEAM_0:0:141170025
370,STEAM_0:1:506732408
371,STEAM_0:1:237395000
372,STEAM_0:0:538506613
373,STEAM_0:0:171404314
374,STEAM_0:1:229073852
375,STEAM_0:1:58094549
376,STEAM_0:1:79288547
377,STEAM_0:1:117105726
378,STEAM_0:0:144342805
379,STEAM_0:1:152146958
380,STEAM_0:1:118073585
381,STEAM_0:0:98509369
382,STEAM_0:0:26940528
383,STEAM_0:0:79117115
384,STEAM_0:1:116284461
385,STEAM_0:0:199459924
386,STEAM_0:1:241723321
387,STEAM_0:0:539975951
388,STEAM_0:1:147303361
389,STEAM_0:0:98796044
390,STEAM_0:1:434530914
391,STEAM_0:0:106564661
392,STEAM_0:0:99269749
393,STEAM_0:0:446629204
394,STEAM_0:0:215199569
395,STEAM_0:0:145373384
396,STEAM_0:0:525681904
397,STEAM_0:1:171133085
398,STEAM_0:0:502267511
399,STEAM_0:0:208612329
400,STEAM_0:0:225600662
401,STEAM_0:0:443802717
402,STEAM_0:0:221072868
403,STEAM_0:0:121170300
404,STEAM_0:0:52481961
405,STEAM_0:1:439567512
406,STEAM_0:0:527626222
407,STEAM_0:1:58863098
408,STEAM_0:0:34701785
409,STEAM_0:1:49435596
410,STEAM_0:1:79279128
411,STEAM_0:0:71110658
412,STEAM_0:0:475443308
413,STEAM_0:0:90086305
414,STEAM_0:0:211842247
415,STEAM_0:0:78000564
416,STEAM_0:0:515923603
417,STEAM_0:1:420977691
418,STEAM_0:0:59476298
419,STEAM_0:0:509478850
420,STEAM_0:0:233116025
421,STEAM_0:1:99139582
422,STEAM_0:0:70435743
423,STEAM_0:0:426543591
424,STEAM_0:0:55972459
425,STEAM_0:1:506579880
426,STEAM_0:0:167000744
427,STEAM_0:0:151336090
428,STEAM_0:1:532453637
429,STEAM_0:1:62132719
430,STEAM_0:1:20008534
431,STEAM_0:1:73125141
432,STEAM_0:1:526477443
433,STEAM_0:1:94827352
434,STEAM_0:0:214565793
435,STEAM_0:1:125945504
436,STEAM_0:0:201602302
437,STEAM_0:0:535634838
438,STEAM_0:0:229354195
439,STEAM_0:0:517870758
440,STEAM_0:0:162242048
441,STEAM_0:1:73207658
442,STEAM_0:0:426515774
443,STEAM_0:1:423874107
444,STEAM_0:0:231049261
445,STEAM_0:0:163649331
446,STEAM_0:1:93427857
447,STEAM_0:0:146435360
448,STEAM_0:1:205073298
449,STEAM_0:1:205842565
450,STEAM_0:1:103593333
451,STEAM_0:1:532061468
452,STEAM_0:1:187785321
453,STEAM_0:0:144113107
454,STEAM_0:0:507715826
455,STEAM_0:0:495063249
456,STEAM_0:0:235064065
457,STEAM_0:0:63790990
458,STEAM_0:0:243923456
459,STEAM_0:0:43442906
460,STEAM_0:0:71549653
461,STEAM_0:0:40402370
462,STEAM_0:1:27675807
463,STEAM_0:1:45272472
464,STEAM_0:0:70777202
465,STEAM_0:1:206863681
466,STEAM_0:0:78405524
467,STEAM_0:1:163023970
468,STEAM_0:0:199722245
469,STEAM_0:1:533439424
470,STEAM_0:1:53862146
471,STEAM_0:0:86071597
472,STEAM_0:1:156883452
473,STEAM_0:0:80763723
474,STEAM_0:0:235735605
475,STEAM_0:0:429696417
476,STEAM_0:0:44588762
477,STEAM_0:1:213603423
478,STEAM_0:1:85893906
479,STEAM_0:1:454086766
480,STEAM_0:0:495206299
481,STEAM_0:1:514835881
482,STEAM_0:0:72052699
483,STEAM_0:1:20880388
484,STEAM_0:0:190431778
485,STEAM_0:1:32914965
486,STEAM_0:1:190062466
487,STEAM_0:0:155790640
488,STEAM_0:0:55930703
489,STEAM_0:0:91331420
490,STEAM_0:1:536271176
491,STEAM_0:0:427863237
492,STEAM_0:0:522573854
493,STEAM_0:1:220508108
494,STEAM_0:0:34593422
495,STEAM_0:0:73241746
496,STEAM_0:0:40621281
497,STEAM_0:0:549750638
498,STEAM_0:0:76312537
499,STEAM_0:1:523919124
500,STEAM_0:0:501789440
501,STEAM_0:0:158736660
502,STEAM_0:0:207148602
503,STEAM_0:1:514015585
504,STEAM_0:0:544165552
505,STEAM_0:1:211507171
506,STEAM_0:0:191798683
507,STEAM_0:0:556713228
508,STEAM_0:0:212028646
509,STEAM_0:0:164594051
510,STEAM_0:0:56570089
511,STEAM_0:1:246601210
512,STEAM_0:0:512522126
513,STEAM_0:0:140563766
514,STEAM_0:1:516863003
515,STEAM_0:1:534826639
516,STEAM_0:0:233895101
517,STEAM_0:1:163870415
518,STEAM_0:1:521540764
519,STEAM_0:1:95295393
520,STEAM_0:1:522637023
521,STEAM_0:0:460973505
522,STEAM_0:0:484365751
523,STEAM_0:0:78298554
524,STEAM_0:1:463773316
525,STEAM_0:1:110183245
526,STEAM_0:0:38129308
527,STEAM_0:1:81363249
528,STEAM_0:1:180660813
529,STEAM_0:1:190711954
530,STEAM_0:1:89801572
531,STEAM_0:1:535108867
532,STEAM_0:1:231455406
533,STEAM_0:0:218695812
534,STEAM_0:1:34641895
535,STEAM_0:1:150420626
536,STEAM_0:0:206786006
537,STEAM_0:0:74555711
538,STEAM_0:1:482194334
539,STEAM_0:0:522213486
540,STEAM_0:1:107640264
541,STEAM_0:0:172237175
542,STEAM_0:1:88366772
543,STEAM_0:0:439300384
544,STEAM_0:0:220458456
545,STEAM_0:0:25850261
546,STEAM_0:0:90300285
547,STEAM_0:0:232028727
548,STEAM_0:1:522693060
549,STEAM_0:0:138059965
550,STEAM_0:1:67582464
551,STEAM_0:1:39017784
552,STEAM_0:0:224268508
553,STEAM_0:0:186095784
554,STEAM_0:0:121915534
555,STEAM_0:0:451741038
556,STEAM_0:0:206141591
557,STEAM_0:0:513081586
558,STEAM_0:1:178920797
559,STEAM_0:1:54231089
560,STEAM_0:1:211131534
561,STEAM_0:0:536277298
562,STEAM_0:0:239546776
